year,season,deaths
2007,Fall,6
2007,Spring,6
2007,Summer,7
2007,Winter,9
2008,Fall,3
2008,Spring,1
2008,Summer,14
2008,Winter,5
2009,Fall,7
2009,Spring,3
2009,Summer,1
2009,Winter,3
2010,Fall,6
2010,Spring,1
2010,Summer,7
2010,Winter,8
2011,Fall,4
2011,Spring,6
2011,Summer,3
2011,Winter,9
2012,Fall,3
2012,Spring,6
2012,Summer,3
2012,Winter,4
2013,Fall,2
2013,Spring,5
2013,Summer,4
2013,Winter,8
2014,Fall,6
2014,Spring,7
2014,Summer,9
2014,Winter,14
2015,Fall,7
2015,Spring,12
2015,Summer,13
2015,Winter,8
2016,Fall,4
2016,Spring,15
2016,Summer,5
2016,Winter,10
2017,Fall,9
2017,Spring,9
2017,Summer,8
2017,Winter,10
2018,Fall,5
2018,Spring,4
2018,Summer,8
2018,Winter,9
2019,Fall,14
2019,Spring,19
2019,Summer,4
2019,Winter,16
2020,Fall,15
2020,Spring,11
2020,Summer,24
2020,Winter,29
2021,Fall,42
2021,Spring,31
2021,Summer,35
2021,Winter,29
2022,Fall,31
2022,Spring,26
2022,Summer,23
2022,Winter,29
2023,Fall,21
2023,Spring,23
2023,Summer,19
2023,Winter,28
